    tempo         81         84         87         90         93         96         99
0    1.48   5.595714  -5.172273   1.538333  14.529583  11.567273  13.738000  -2.262667
1    2.48  44.495714  16.460000   6.093500   3.491500  13.336842  24.414211  21.620000
2    3.48  -3.109231  -1.948000  -7.418636   0.353333   0.932857  10.847500  23.195333
3    4.48  21.447500  25.907273  29.083333  27.308333  16.335238   0.707368  -0.056000
4    5.48  24.793333   4.087727 -10.095417 -26.693478 -24.373333 -15.188333 -13.405455
5    6.48   9.492500  -1.355000 -14.230000   4.250000  34.986000  46.500000  67.876667
6    7.48  35.472000  20.366818   6.266522 -19.155417 -35.361250 -40.291818 -41.078333
7    8.48  -0.278889 -12.117143 -16.078696 -13.647143   7.720455  22.576500  37.280667
8    9.48  42.056842  31.451905  22.140870  -3.122500 -14.828182 -32.073000 -35.336923
9   10.48 -21.473077 -17.632857  -9.389583   7.102174  19.458636  44.929474  86.505000
10  11.48  33.964444  27.929545  15.670000 -18.210833 -48.128261 -33.813158 -14.012500
11  12.48  16.534000   9.445909  -1.295652  -8.058333   0.422609  21.275714  24.345714
12  13.48  12.050556  10.242727   5.940909  -3.549130 -19.508696 -29.384000  16.956364
13  14.48 -10.491333 -15.779583 -19.545833 -18.911667  -1.983750  11.564091  39.613333
14  15.48  -5.510000  12.168889  10.862857   4.391739  -3.043810 -36.123846 -17.385000
15  16.48   6.430000  -9.382174 -13.961250  -0.881667  13.204783  17.595714  43.977692
16  17.48  -1.465000   9.896154  32.153889  39.178125  10.650000 -10.582500  13.124000
17  18.48 -12.215294 -10.075652 -10.658636   3.283750  16.870870  15.936250  21.620714
18  19.48 -32.038667  -9.143043  15.099565  29.613913  28.306818  17.930000   8.767333
19  20.48   4.992381  -4.588095 -13.454783 -21.939130 -22.603913 -22.272632  -9.117692
20  21.48 -20.083750 -15.148182 -13.787273  12.572174  41.243636  54.001429  52.130000
21  22.48  26.887895  16.082632   0.144348 -11.545000 -13.280952  11.297368  -9.123333
22  23.48  -4.827143  -2.310500   1.352000  15.483000  40.101000  50.453750  56.953333
23  27.48 -13.841333   6.982632  39.941905  54.285263  55.681667  60.951333  72.676154
24  28.48  23.138571  -2.601667 -23.416957 -26.956667 -15.242857  -3.101579  10.314286
25  29.48 -11.880000   6.252917  25.790417  48.687727  44.652000  47.641667  47.853077
26  30.48   5.850500 -25.180000 -32.145833 -18.802917   7.274286  23.571667  23.906429
27  31.48 -11.742353   2.676364  32.513750  47.889565  57.382105  76.822667  81.337692
28    NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN
