    tempo         81         84         87         90         93         96         99
0    1.48  15.822143  14.378636   3.553750  -4.947500 -14.508182 -12.316500  -8.057333
1    2.48   3.135000   8.476500  12.314500  14.171000  12.136316  17.309474  15.585000
2    3.48  -5.873077  -2.271500  -4.207727  -5.597083  -2.527619  -4.832500   0.292000
3    4.48  18.113333  20.370000  12.158750   1.550417  -4.959524 -13.241053 -11.974667
4    5.48  -9.764667  -5.783636  -7.883333 -12.602174 -19.386190 -20.743889 -12.989091
5    6.48  10.530000   4.012500  -4.223000  -6.363000   3.575000   5.862000   6.938889
6    7.48  13.451333  14.788636   7.875217  -5.950417 -15.771667  -8.043182  14.095000
7    8.48  -7.663333   0.346190   4.737826  -6.003333 -14.066818 -24.595000 -10.098667
8    9.48  -4.313684  -1.422381  -0.911304 -13.960000 -34.881364 -45.910000 -21.864615
9   10.48  12.116923   8.518095   0.553750 -15.605217 -25.024091 -32.665263 -30.384000
10  11.48   8.209444   3.930455  -5.920417 -19.370000 -26.226957 -13.640526   0.770000
11  12.48  24.663000  12.150909   1.486957 -17.422083 -31.735652 -40.407143 -27.975714
12  13.48 -12.256111 -11.268182 -13.923636 -17.253043 -24.739565 -19.602500 -14.663636
13  14.48   9.420000  17.795833  15.587500   8.495000  -5.840417 -24.551818   3.766000
14  15.48  -4.405556   0.141667   5.344762   6.552174  -7.974286 -24.992308 -36.763333
15  16.48  16.751765  24.124348  25.515833  11.477917  -3.918696  -8.480000  -3.133077
16  17.48  13.432500   4.635385   7.435000  -1.984375  -7.478462  -3.190833  -8.658000
17  18.48  23.703529  25.962174  23.489091  17.557083   4.283043   4.435625  -3.512857
18  19.48  22.051333  26.463478  22.580870   7.659130 -13.060909 -25.470500 -13.806667
19  20.48  20.052857  18.622381   4.655652   0.471304  -6.335652  -5.787368  19.744615
20  21.48  18.121250   2.166364 -16.932727 -31.293478 -41.460909 -45.209048 -20.361538
21  22.48  15.800526   1.207368 -16.278696 -35.664545 -43.149048 -51.055263   1.838333
22  23.48  -5.105000 -20.802000 -41.784000 -57.308500 -58.400000 -54.417500 -24.725000
23  27.48 -35.774000 -44.105263 -52.540952 -50.532105 -45.913889 -13.908000   6.965385
24  28.48 -27.641905 -40.457500 -46.343043 -31.788571  -9.972857  15.599474  27.833571
25  29.48 -43.161053 -56.160417 -63.709583 -48.025455 -15.249500   7.677222  22.945385
26  30.48 -38.319500 -32.784500 -21.970833 -10.007083   0.555238   9.981667  20.049286
27  31.48 -31.478235 -31.081818 -27.194583 -19.462174  -9.038947   2.466667   9.720000
28    NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN
