        tempo         81         84         87         90         93         96         99
0    1.521667  16.103125  11.145217   3.383478  -1.480417  -6.907273 -10.717000 -22.005714
1    2.521667  24.315000  12.125217   4.746087  -9.706190 -19.478500 -18.097500 -16.437333
2    3.521667  -5.776667  -5.161739  -5.883333 -14.902083 -25.745000 -23.729500 -13.521176
3    4.521667  12.479000   5.368333   1.880435   4.470000   9.861739   9.143889  19.104000
4    5.521667  -0.293000 -11.191818 -12.982917 -13.413750 -14.813636 -19.636842 -18.403846
5    6.521667   0.018947  -6.506522 -11.860909 -20.265455 -17.293333  -8.097619  11.627692
6    7.521667 -24.439524 -29.720455 -34.969167 -38.716250 -32.762609 -28.577143 -24.317143
7    8.521667   1.555263  -5.910870 -17.066087 -27.260000 -25.948696 -17.846842 -13.952857
8    9.521667 -23.562500  -5.753636   7.063913  14.494348  10.447083   1.972000   5.616667
9   10.521667 -12.482778 -10.980417 -13.710833 -23.912500 -25.091818 -30.472609 -17.703077
10  11.521667 -21.807273  -8.112917  -1.062917  -0.910000   6.244762   6.645556  17.453571
11  12.521667 -10.718889 -10.151818 -21.197826 -25.832609 -28.607895 -31.062222 -32.519167
12  13.521667   1.884091   0.051364  -2.663913   2.486818   6.419524   9.267368  14.527333
13  14.521667  -3.104118  -6.115500  -4.309091  -2.304348  -3.360476 -13.255556 -13.704000
14  15.521667 -17.270714 -31.551053 -31.989000 -35.718500 -32.923158 -35.073500 -11.687500
15  16.521667 -36.427500 -25.621500 -19.514000 -14.208000 -19.560000 -20.444737 -20.792857
16  17.521667 -12.238889 -22.398696 -29.136667 -36.045833 -36.506818 -32.821905 -24.023333
17  18.521667   1.101667  11.013043  17.999130  19.345000  17.854783  13.390455   9.466667
18  19.521667 -29.712381 -21.374167 -18.942500 -17.815833 -23.585833 -30.606818 -46.712000
19  20.521667 -20.895500 -13.596087 -10.081739  -7.950909 -15.738636 -14.169500  10.467857
20  21.521667 -25.953500 -20.352174 -16.029167 -22.602917 -26.568261 -24.463182 -13.445000
21  22.521667 -27.960556 -31.131364 -31.668636 -30.326087 -27.878696 -15.159091   6.196154
22  23.521667 -17.915263 -29.463636 -43.778333 -64.110417 -73.583182 -62.447059 -54.754545
23  24.521667 -62.575714 -72.128261 -67.497500 -52.767500 -34.157083  -5.602083  20.888571
24  25.521667 -55.344500 -64.667826 -53.930000 -52.817500 -22.353500   3.655263   9.305455
25  26.521667 -48.674706 -44.103478 -34.337727 -14.263636   4.556957   4.880000  19.632143
26  27.521667 -61.770000 -69.337727 -67.806364 -53.434783 -20.846190  -3.014211  -8.957000
27  28.521667 -44.253889 -40.966000 -28.635909  -1.275909  14.763810  28.817000  47.558462
28  29.521667 -60.616667 -57.459474 -51.885789 -14.882105   2.199000   9.630500  -5.886000
29  30.521667 -42.407222 -17.998095   8.839130  26.975909  32.167826  38.306500  28.872143
30  31.500870 -59.014706 -54.707273 -49.127826 -34.328261 -16.778636  -4.469474  -4.197692
