        tempo         81         84         87         90         93         96         99
0   60.521667 -19.135882 -18.088571 -15.530435 -21.678182 -12.867647 -10.812667   2.420000
1   61.521667 -34.361364 -21.235833 -13.970417  -4.436667  -5.672500  -4.178750  -3.647333
2   62.521667 -24.477917  -8.915833   2.353750  -4.568750   2.276818   3.527500   9.905333
3   63.521667 -54.208636 -45.499545 -43.016522 -42.949048 -34.320000 -23.097222 -16.514286
4   64.521667 -35.284000 -32.424783 -23.199130 -20.736522 -15.560500  -8.330000   7.718333
5   65.521667 -36.667778 -29.608261 -32.012500 -29.900000 -29.909545 -13.483125   4.197333
6   66.521667 -13.657500 -11.825714 -15.908095 -16.579524 -21.371429 -14.712353  -7.453846
7   67.521667 -36.621364 -37.709091 -42.829130 -47.732273 -42.380476 -39.800000 -27.704286
8   68.521667 -37.965500 -33.719565 -31.520909 -31.436818 -33.617727 -37.475882 -25.777857
9   69.521667 -47.511250 -31.316250 -30.562083 -31.885000 -35.838182 -38.066842 -25.218667
10  70.521667   0.609474   1.952174  -9.688750 -22.178261 -40.020833 -37.580000 -22.901538
11  71.521667 -28.082917 -23.889167 -20.255652 -16.980000 -24.529565 -29.976842 -26.231429
12  72.521667 -20.221579 -12.935238 -11.208571 -21.640000 -37.154737 -27.406250 -17.151875
13  73.521667 -50.729500 -49.516957 -59.482917 -57.286190 -61.350000 -47.449444 -34.414667
14  74.521667 -48.768261 -51.432500 -57.666818 -64.529091 -69.673913 -73.164091 -70.500625
15  75.521667 -41.063810 -35.725238 -33.416667 -36.754545 -24.669474 -33.360625 -25.027857
16  76.521667 -35.909474 -39.761429 -43.943333 -38.601818 -37.746190 -29.015000 -19.012143
17  77.521667 -21.894737 -14.929545 -23.202727 -28.889091 -24.106667 -26.486471  -9.350000
18  78.521667 -34.013636 -42.366522 -57.434348 -60.972174 -51.161429 -44.311667 -39.748750
19  79.521667 -44.134545 -48.011364 -57.672273 -65.111905 -62.663333 -57.402632 -47.209333
20  80.521667 -43.561429 -43.150952 -28.632727 -18.722381 -12.058947  -8.982353  -2.623846
21  81.521667 -32.310476 -31.415833 -29.305000 -34.182174 -36.830952 -32.237647 -24.801667
22  82.521667 -47.475833 -43.416957 -33.493636 -25.888261 -21.080909 -19.138500 -17.133571
23  83.521667 -46.894737 -45.423333 -47.898750 -42.320435 -32.104000 -26.326667 -20.607857
24  84.521667 -32.858000 -40.264583 -34.137500 -26.611667 -20.135909 -21.571053 -22.530714
25  85.521667 -42.486087 -40.952174 -40.528696 -44.783478 -51.577727 -51.288095 -44.610625
26  86.521667 -37.613636 -36.154167 -30.789583 -29.786522 -30.275714 -34.843810 -40.257333
27  87.521667 -12.103500  -6.914762  -9.297500  -8.541500 -14.974211 -19.561176 -25.875000
28  88.521667 -20.787143 -21.233043 -27.119565 -29.316190 -30.881905 -34.053889 -27.716667
29  89.521667 -20.705714 -30.180833 -36.696250 -38.111304 -36.933182 -35.002632 -20.109333
30  90.500870 -32.580000 -37.064500 -31.679545 -31.045909 -38.831905 -34.375556 -36.333571
