    tempo          90    90_std        dia tipo_vento
16.322778    7.936576  0.717810 2005-01-01 meridional
 6.241111         NaN       NaN 2005-01-02 meridional
 6.517222         NaN       NaN 2005-01-03 meridional
 6.758889         NaN       NaN 2005-01-04 meridional
15.811944  230.329800  0.793019 2005-01-05 meridional
 5.658056         NaN       NaN 2005-01-06 meridional
14.747222  -96.800370 19.881129 2005-01-07 meridional
 6.285000         NaN       NaN 2005-01-08 meridional
 4.941944         NaN       NaN 2005-01-09 meridional
 5.218889         NaN       NaN 2005-01-10 meridional
 5.496667         NaN       NaN 2005-01-11 meridional
14.512778   -1.096678 19.350565 2005-01-12 meridional
 4.394722         NaN       NaN 2005-01-13 meridional
 4.706944         NaN       NaN 2005-01-14 meridional
13.724722   10.293046  0.931317 2005-01-15 meridional
 3.606667         NaN       NaN 2005-01-16 meridional
12.660000   30.229412 13.778606 2005-01-17 meridional
 4.197500         NaN       NaN 2005-01-18 meridional
 2.854167         NaN       NaN 2005-01-19 meridional
 3.095000         NaN       NaN 2005-01-20 meridional
 3.407500 -115.596660  0.758575 2005-01-21 meridional
12.424444   -5.140449  0.734243 2005-01-22 meridional
 2.306111         NaN       NaN 2005-01-23 meridional
11.395000   12.340709  0.792665 2005-01-24 meridional
13.326111   85.326126 22.704482 2005-01-25 meridional
11.911944  -30.085463  0.854075 2005-01-26 meridional
10.570278   61.662620 15.671815 2005-01-27 meridional
10.882778  -34.974686 17.626196 2005-01-28 meridional
12.777500  129.873400  0.759481 2005-01-29 meridional
13.053889   51.088640  0.867454 2005-01-30 meridional
10.093889   27.101114 15.453740 2005-01-31 meridional
12.024444  -28.956545 20.668398 2005-02-01 meridional
12.300833   85.857820  0.840173 2005-02-02 meridional
 9.304722  -46.721010 13.233988 2005-02-03 meridional
11.235556   30.644484  0.867355 2005-02-04 meridional
22.013333  -18.198359  0.900720 2005-02-05 meridional
11.788333    1.748316 16.877109 2005-02-06 meridional
20.947500  -32.466408 12.186054 2005-02-07 meridional
21.223889   61.202873  7.446428 2005-02-08 meridional
21.536667   32.947056  0.879516 2005-02-09 meridional
11.275556  -47.245730  0.687763 2005-02-10 meridional
 9.933611   -4.820326  0.729183 2005-02-11 meridional
20.711111   13.869740  0.822041 2005-02-12 meridional
10.486111  -41.840134 15.270895 2005-02-13 meridional
12.488611         NaN       NaN 2005-02-14 meridional
19.921667  -15.164084  0.841613 2005-02-15 meridional
20.269722   50.595234  5.861889 2005-02-16 meridional
18.891944    4.035614  0.906105 2005-02-17 meridional
19.168056   30.472908  8.941418 2005-02-18 meridional
19.444444    4.821188  0.837230 2005-02-19 meridional
18.102500   62.856690 12.411177 2005-02-20 meridional
18.342500   90.027405 15.902720 2005-02-21 meridional
